seed,neuron,frequency,single_fve,sum_fve,phase,amplitude
0,290,17,0.9728257144,0.08450417419,-0.6134492678,37.23011528
0,290,24,0.0002288124161,3.094268095e-05,1.230284752,0.7124169925
0,290,34,0.005147497315,0.002039851908,1.934125552,5.784350748
0,290,50,0.0003922487014,9.557840429e-05,-2.371097331,1.252088964
0,291,5,0.0001389471824,2.595223606e-05,-2.588513216,0.9050445667
0,291,17,9.906391462e-05,4.126130369e-08,-0.7374853739,0.0360872715
0,291,24,0.001502832616,0.0003580469242,0.3867702124,3.361650411
0,291,34,8.510538333e-06,1.395974941e-08,0.1714748747,0.02099043241
0,291,50,0.9703831607,0.1831890628,-1.131071108,76.0382905
0,292,5,0.1003599785,0.0712328751,-1.410738384,6.686679286
0,292,17,0.006266742239,4.6957048e-07,2.451586075,0.01716803738
0,292,24,0.6169135124,0.2536067102,0.319004765,12.61684091
0,292,34,0.0002429575732,3.47034334e-08,1.902887534,0.00466720072
0,292,50,0.1384997189,0.1343954313,2.148467481,9.184647846
0,293,5,0.0002101188689,7.181680081e-05,-2.849785696,1.047724117
0,293,17,0.9716400964,0.08102901868,0.5107888886,35.19283094
0,293,24,0.0008538515792,3.302747881e-05,-0.2977582956,0.7105123396
0,293,34,0.003614379026,0.001569377234,-2.182515578,4.897760988
0,293,50,0.0004971643096,0.0001812477759,-1.988142364,1.664448096
0,294,5,0.0002007424706,8.558504771e-05,-2.245787541,1.953950391
0,294,17,7.606503692e-05,4.931951064e-08,-2.943674671,0.04690552097
0,294,24,0.0011962302,0.0004836941267,0.4116890635,4.645152662
0,294,34,1.524677915e-06,1.656235502e-08,0.8260572892,0.02718163831
0,294,50,0.9663519022,0.1779339929,-2.345763026,89.09309516
0,295,5,0.0001863351701,3.998213902e-05,-2.634072509,0.6093971578
0,295,17,0.9723600744,0.08432520971,2.302809698,27.98634135
0,295,24,0.0006956322957,3.673411243e-05,0.6464415198,0.5841201491
0,295,34,0.004911546036,0.001854072728,1.432631494,4.149834672
0,295,50,0.0003520597877,0.000188475627,-1.98537389,1.323107132
0,296,5,4.024750097e-05,2.079105233e-06,1.239411358,0.2989929221
0,296,17,2.643716502e-05,4.802124871e-08,0.3854980543,0.04544011233
0,296,24,0.002579327587,6.412450761e-05,-2.383776961,1.660483994
0,296,34,9.468557461e-06,1.816535581e-09,-0.3590349864,0.008837809301
0,296,50,0.9796127402,0.141479235,-0.5174358739,77.99540603
0,297,5,0.0001475882764,1.341350265e-05,-2.630083858,0.4829548719
0,297,17,0.9744701624,0.08449256346,2.872401833,38.33051859
0,297,24,0.0001605880313,0.0001062866119,-1.657781442,1.359485981
0,297,34,0.005337123317,0.001908306963,2.639983189,5.760491887
0,297,50,0.0001958992793,0.0001010690123,2.623169679,1.325697577
0,298,5,0.0002276600508,1.85038265e-05,-2.304732328,0.5662863244
0,298,17,0.9740811179,0.08841040386,-2.646592522,39.14325951
0,298,24,0.0002407651371,4.335288426e-06,-1.252354998,0.2741033214
0,298,34,0.007341584374,0.002363196447,-2.136080427,6.39963511
0,298,50,4.101528102e-05,2.319905289e-06,2.996621183,0.200512027
0,299,5,0.0002426693073,6.487132427e-05,0.1722865285,0.9172956875
0,299,17,0.9720506241,0.08053562349,-2.853639639,32.32041902
0,299,24,0.0005400936211,1.709132902e-05,1.488174559,0.4708373289
0,299,34,0.003048697584,0.001431533158,-2.587777428,4.309071257
0,299,50,0.0005973431253,3.060849393e-05,3.042751006,0.630091978
0,300,5,0.9701488936,0.1505702111,2.289246164,58.68341347
0,300,17,0.0001698983607,5.481503414e-09,1.686247749,0.01119684542
